ts,open,high,low,close,volume,vol_achat,vol_vente,n_trades,n_achat,gros_achat,gros_vente,moyen_achat,moyen_vente,trade_max
1773000300,67167.6,67210.0,67130.0,67156.3,368.963,172.07,196.893,3887,1862,90.729,89.663,54.874,78.649,2003299.2
1773000600,67156.3,67177.9,67052.8,67070.8,339.845,108.162,231.683,4206,1698,37.962,110.696,44.537,83.984,3986397.8298
1773000900,67070.7,67198.9,67014.8,67150.1,489.64,266.094,223.546,5793,3114,104.423,65.76,115.233,118.137,670897.0
1773001200,67150.0,67153.3,67001.5,67019.9,207.817,68.898,138.919,2909,900,25.28,66.165,28.023,42.086,914133.549
1773001500,67019.9,67067.5,67000.0,67000.0,144.808,66.892,77.916,2146,1020,14.254,38.384,35.075,22.72,800845.2
1773001800,67000.1,67347.1,67000.0,67320.4,851.638,588.276,263.362,11017,7285,161.953,105.754,313.784,100.008,998526.4287
1773002100,67320.3,67496.4,67286.5,67337.0,951.192,460.4,490.792,8961,4734,157.307,279.899,223.283,146.195,6221206.29
1773002400,67337.0,67409.1,67301.5,67309.8,278.189,111.858,166.331,3968,1845,48.219,77.175,36.766,56.57,1083327.3088
1773002700,67309.7,67365.8,67257.8,67297.7,387.971,197.362,190.609,4183,2097,109.209,102.411,54.649,59.427,1509067.9
1773003000,67297.6,67362.4,67159.7,67226.9,752.671,268.938,483.733,5845,2390,183.115,180.735,48.974,252.425,2736975.99
1773003300,67226.8,67240.9,67167.6,67195.7,192.078,61.077,131.001,2230,1004,23.724,53.881,22.795,59.159,1205835.84
1773003600,67195.6,67231.9,67146.1,67188.0,294.928,156.65,138.278,2962,1489,102.532,73.152,32.665,44.891,4924171.2
1773003900,67188.0,67188.0,66867.3,66883.4,911.682,287.008,624.674,9386,3204,124.069,185.125,119.468,341.565,2538533.8916
1773004200,66883.3,66929.2,66666.6,66733.5,1329.38,543.302,786.078,10799,4740,258.871,303.919,212.494,374.036,1269689.967
1773004500,66733.6,66858.3,66732.2,66838.4,419.994,233.718,186.276,5224,3113,98.578,84.971,87.717,68.154,835877.4254
1773004800,66838.4,66962.8,66838.3,66950.0,286.198,181.544,104.654,3333,2151,81.573,59.331,66.913,28.34,461218.55
1773005100,66950.0,66964.5,66891.0,66903.5,178.409,63.143,115.266,2258,972,20.68,55.666,25.532,39.11,1485236.9727
1773005400,66903.5,66983.5,66855.0,66902.3,264.573,151.44,113.133,3486,1880,53.784,60.869,66.623,30.757,442980.09
1773005700,66902.3,66990.3,66902.3,66925.3,320.049,65.284,254.765,2350,1292,15.881,208.052,29.402,31.054,9216401.4495
1773006000,66925.2,67000.0,66916.7,66987.8,131.443,82.657,48.786,2375,1398,33.968,14.822,26.017,20.316,1296687.6
1773006300,66987.7,67013.8,66950.0,66967.8,119.25,65.693,53.557,3148,1532,13.343,7.437,31.838,24.981,305017.7631
1773006600,66967.8,66979.0,66880.6,66972.4,211.585,118.47,93.115,3787,1893,53.379,14.666,37.486,52.388,1206501.651
1773006900,66972.4,66987.5,66904.3,66977.1,230.651,133.116,97.535,3443,1795,57.322,20.453,51.941,51.002,2092923.95
1773007200,66977.1,66978.3,65673.8,65727.7,10057.11,3074.933,6982.177,60794,24493,1353.129,3633.008,1333.151,2791.817,20980007.8
1773007500,65727.6,66159.6,65670.8,65993.7,3680.258,1932.131,1748.127,35259,19098,844.814,911.08,839.565,632.538,7182928.935
1773007800,65993.7,66079.3,65600.0,66036.4,3111.52,1282.801,1828.719,30438,14679,546.03,627.933,553.707,989.679,1941522.0
1773008100,66036.5,66140.0,65688.2,65734.4,2230.518,832.265,1398.253,22444,9669,384.969,500.99,329.878,714.183,3312766.314
1773008400,65734.4,65777.1,65569.2,65618.2,2262.35,1018.715,1243.635,22170,10354,512.756,442.863,379.306,630.26,6643846.8
1773008700,65618.3,65997.0,65591.9,65871.6,1825.945,1226.103,599.842,15824,8853,724.861,238.723,383.297,260.175,5363337.4
1773009000,65871.7,66035.5,65680.0,66023.9,1326.934,811.887,515.047,15125,8233,389.531,138.555,317.781,276.023,4896112.2
1773009300,66024.0,66245.0,65921.1,65983.6,1889.089,924.89,964.199,19430,9608,412.352,360.962,393.104,465.025,3013758.0
1773009600,65983.6,66034.9,65970.2,66008.1,544.749,258.31,286.439,7031,3595,134.034,112.838,77.021,123.078,2670210.961
1773009900,66008.1,66272.2,66008.0,66090.7,960.613,471.237,489.376,13574,6950,159.23,218.779,220.231,182.148,3160974.1077
1773010200,66090.7,66194.0,66002.0,66188.8,575.5,291.804,283.696,9149,4832,92.16,104.003,141.651,122.628,2392003.217
1773010500,66188.7,66214.0,66140.2,66198.4,329.763,165.553,164.21,5528,2773,49.881,44.553,79.536,82.653,800605.8684
1773010800,66198.4,66350.6,66137.8,66350.6,829.517,466.73,362.787,14577,7856,174.612,112.445,199.387,164.979,3510387.4
1773011100,66350.6,66400.0,66152.6,66192.0,771.699,275.199,496.5,12743,5521,87.577,173.405,122.441,222.256,1409445.392
1773011400,66192.0,66291.0,66066.4,66290.9,446.215,223.522,222.693,8556,4396,70.852,38.168,103.55,129.356,1754913.426
1773011700,66291.0,66381.2,66221.7,66222.0,383.055,157.998,225.057,8682,4116,40.934,38.759,65.493,127.743,720006.1354
1773012000,66222.0,66525.3,66204.2,66475.2,918.673,604.956,313.717,9915,6240,258.839,131.134,266.583,129.845,3252279.966
1773012300,66475.1,66527.2,66353.3,66427.3,647.301,373.297,274.004,8156,3785,199.939,73.247,132.573,134.408,6277784.9376
1773012600,66427.4,66480.0,66365.9,66405.5,347.284,126.271,221.013,7547,3638,27.058,87.612,59.788,85.942,3338023.177
1773012900,66405.5,66405.5,66171.4,66202.7,486.71,210.442,276.268,8893,3661,69.146,48.839,99.215,156.354,597281.5275
1773013200,66202.7,66228.0,66070.0,66075.9,635.64,247.003,388.637,8635,3769,83.898,159.746,115.362,167.772,1270057.6
1773013500,66075.8,66139.5,65937.1,66108.6,859.783,464.979,394.804,12732,6489,182.284,129.088,200.564,186.189,2140547.164
1773013800,66108.7,66187.6,65955.2,65998.9,500.775,273.603,227.172,8847,4037,101.629,62.784,124.49,108.328,2544934.68
1773014100,65998.8,66052.9,65880.0,65934.3,613.348,306.401,306.947,8346,4037,127.855,123.085,128.727,130.025,3531241.8688
1773014400,65934.3,66117.4,65900.1,66102.4,765.803,441.421,324.382,13377,7426,145.131,141.806,205.934,124.534,1908100.2624
1773014700,66102.4,66298.1,66102.3,66268.3,615.74,372.623,243.117,11742,6563,100.219,52.576,184.471,129.543,667916.655
1773015000,66268.3,66370.0,66229.7,66283.0,544.815,310.438,234.377,9561,4883,103.739,61.899,143.573,117.772,753976.897
1773015300,66283.1,66342.1,66187.0,66200.0,426.168,206.468,219.7,9213,4417,37.89,66.044,120.946,101.427,723529.931
1773015600,66200.1,66207.7,65927.0,65943.5,627.002,253.52,373.482,12126,5149,105.974,145.87,94.442,150.715,1693973.0295
1773015900,65943.4,66134.2,65770.5,66134.1,1369.996,626.644,743.352,15059,8138,257.921,344.728,270.991,307.608,1746838.1693
1773016200,66134.1,66513.3,66134.1,66365.5,1445.716,975.498,470.218,19654,11644,345.848,180.004,492.797,205.247,2652560.0
1773016500,66365.6,66730.0,66365.5,66518.6,1646.973,956.306,690.667,22429,12041,402.764,286.072,409.85,289.158,5139471.2326
1773016800,66518.6,66539.6,66350.0,66413.7,399.197,159.765,239.432,8518,3767,53.576,56.469,62.631,118.312,735800.562
1773017100,66413.8,66521.0,66328.5,66328.5,436.089,179.016,257.073,11103,5261,44.371,55.17,77.478,136.824,829269.1622
1773017400,66328.5,66465.9,66248.5,66284.6,416.391,207.168,209.223,8905,4362,84.272,79.338,76.551,82.538,826781.557
1773017700,66284.5,66378.0,66248.2,66326.9,337.827,162.343,175.484,6992,3745,37.099,65.941,84.683,70.901,759761.92
1773018000,66326.8,66369.0,66164.5,66205.8,579.239,273.294,305.945,11196,5018,126.165,90.771,99.588,146.892,4173939.9006
1773018300,66205.9,66273.9,66081.5,66197.6,575.695,296.086,279.609,11963,6009,105.791,72.052,130.005,136.17,785538.6928
1773018600,66197.6,66399.0,66185.1,66323.0,677.967,263.124,414.843,12426,6659,63.802,201.846,122.459,151.204,6806884.2024
1773018900,66323.0,66430.6,66255.1,66301.8,561.356,269.455,291.901,10958,5555,83.652,126.694,128.014,106.544,683685.6108
1773019200,66301.8,66495.3,66200.0,66453.9,743.816,415.765,328.051,11439,6265,176.517,104.234,168.582,153.841,1987454.7
